dataset,seed,ARI,NMI,AMI,Silhouette,CHI,DBI
10x_human_lymph_node_D1,1337,0.15256740084066114,0.3059304645367089,0.29996088909258095,0.0872842,613.00415,2.3507057399817133
Mouse_Brain_E11_S1,42,0.3954363737323031,0.5112732509731298,0.5056278184697708,0.18118429,198.97908,2.2618801798325165
Mouse_Brain_E11_S1,0,0.4651184914842056,0.5019986091459409,0.4960554575343843,0.18515798,189.69093,1.9708666118960076
Mouse_Brain_E11_S1,1,0.3903319711858822,0.5060331303386947,0.5003074978377742,0.18234606,194.78189,1.9903437831381767
Mouse_Brain_E11_S1,7,0.36708286475880414,0.48000786722286704,0.47396066165954104,0.15327676,194.13527,2.2072499839715043
Mouse_Brain_E11_S1,123,0.41498966411121063,0.49874028886405697,0.49279134403944447,0.19127004,188.08391,2.2193972615008777
Mouse_Brain_E11_S1,1234,0.4450216752801254,0.5277986690336129,0.522273279792751,0.1704838,192.3242,2.05377473616814
Mouse_Brain_E11_S1,2022,0.3986928270217147,0.5241218745257477,0.5186069683140657,0.16590858,179.8438,2.378075934751122
Mouse_Brain_E11_S1,2023,0.3730556086040162,0.4904517054695308,0.4846219177080523,0.14064805,180.8171,2.447194829341734
Mouse_Brain_E11_S1,2024,0.46627583742431167,0.5327710784342908,0.527295855887645,0.1778002,189.5445,1.9142898702200162
Mouse_Brain_E11_S1,1337,0.4455283304142303,0.5059087861570325,0.5000244925708807,0.18527564,207.58295,1.865436372976752
Mouse_Brain_E13_S1,42,0.08630995939468913,0.24242062126846503,0.22993248780808506,0.06342069,106.61638,2.5277759145615284
Mouse_Brain_E13_S1,0,0.12189349712300006,0.29451034561635986,0.2826616171448579,0.047220096,109.42169,2.4747100333696945
Mouse_Brain_E13_S1,1,0.11778375976191431,0.2665814166622404,0.25434680239209173,0.060524523,90.52411,2.593182124392412
Mouse_Brain_E13_S1,7,0.07171038711865288,0.23177455013400974,0.21905206754970422,0.044791304,102.41225,2.5596710218273357
Mouse_Brain_E13_S1,123,0.08281655746035596,0.23178092726996377,0.21918709159339345,0.048925847,102.40528,2.6600949309982984
Mouse_Brain_E13_S1,1234,0.08031161256794156,0.2315337386783652,0.21892867207188482,0.059150048,106.60194,2.5713566011211553
Mouse_Brain_E13_S1,2022,0.07781649743172377,0.24316671697485173,0.23065081720995173,0.062355306,103.640884,2.6429395088393464
Mouse_Brain_E13_S1,2023,0.09613250277400572,0.2521514936796768,0.2398533998500453,0.07169567,117.7475,2.596567733994931
Mouse_Brain_E13_S1,2024,0.0991442633760768,0.24052656460546412,0.22799439742746125,0.05322643,105.85868,2.768698706005454
Mouse_Brain_E13_S1,1337,0.10377371614461417,0.2705544112768291,0.2583733630593522,0.100723,136.95195,2.078345375985392
Mouse_Brain_E15_S1,42,0.4135148111433884,0.5963183291375583,0.5902470297178065,0.13268237,179.74174,1.9461672881079302
Mouse_Brain_E15_S1,0,0.40164743231486044,0.5636716363872538,0.5572179645062851,0.108896516,177.80879,2.2529256771552713
Mouse_Brain_E15_S1,1,0.46272920510309906,0.5795121644074578,0.5729996950690003,0.11596243,183.85046,1.809983177664935
Mouse_Brain_E15_S1,7,0.3844876050849238,0.5801511910668605,0.5739564814412578,0.12339237,178.08278,2.2174491483590857
Mouse_Brain_E15_S1,123,0.38656967472062737,0.595610788832115,0.589436987604216,0.12379188,196.11523,1.9897284984825816
Mouse_Brain_E15_S1,1234,0.46858163277344855,0.607694818324955,0.6018917128922939,0.11638966,190.86826,2.141600623666783
Mouse_Brain_E15_S1,2022,0.40611961865093815,0.5707337572298729,0.5642973197747163,0.105898894,167.16617,2.1094974522402583
Mouse_Brain_E15_S1,2023,0.37558245316557615,0.5558462825613945,0.5492222973860151,0.13337828,177.02385,2.017974738613715
Mouse_Brain_E15_S1,2024,0.4482252912746274,0.607343618165376,0.6013416355536797,0.12084816,202.20892,1.883892495956695
Mouse_Brain_E15_S1,1337,0.40946128502786144,0.5739973843002051,0.5673867434012937,0.14020683,208.67503,1.8661875202856775
Mouse_Brain_E18_S1,42,0.5309820969780347,0.6054989864010767,0.5981068893177762,0.117956184,151.22366,2.1408775636546937
Mouse_Brain_E18_S1,0,0.44687056321480334,0.6073756328279678,0.6000840289309404,0.1123418,154.97581,2.191239978289214
Mouse_Brain_E18_S1,1,0.3718152651272949,0.5930219156690943,0.5854264843070497,0.110146485,146.60895,2.291978351923322
Mouse_Brain_E18_S1,7,0.4195649534618921,0.5947619950423636,0.587130794547324,0.10752072,149.45164,2.1217832436628083
Mouse_Brain_E18_S1,123,0.48897267705690195,0.6021892719999735,0.5946918952097501,0.11054612,159.72507,2.034394788646293
Mouse_Brain_E18_S1,1234,0.44228640859911766,0.6078150052155901,0.6005671073444626,0.10039844,154.04579,2.3664090689455053
Mouse_Brain_E18_S1,2022,0.5318275925609325,0.6350325038440178,0.6281656725269651,0.11218625,139.08684,2.2171866479363755
Mouse_Brain_E18_S1,2023,0.501751668407024,0.6055407098841417,0.5981005271379459,0.12776656,146.52328,2.0278285016283566
Mouse_Brain_E18_S1,2024,0.38257968168527334,0.5982359970671949,0.5908219242249702,0.09506394,139.52182,2.363416309106504
Mouse_Brain_E18_S1,1337,0.4887742057591621,0.6054501126785649,0.5979397070759545,0.118104324,157.96472,2.0313983582862107
